Priority Class: 2 | Queue Time: 108.7906219959259
Priority Class: 2 | Queue Time: 139.88900089263916
Priority Class: 2 | Queue Time: 220.35608768463135
Priority Class: 2 | Queue Time: 170.06464791297913
Priority Class: 2 | Queue Time: 201.56553530693054
Priority Class: 2 | Queue Time: 110.23120379447937
Priority Class: 2 | Queue Time: 211.92755508422852
Priority Class: 2 | Queue Time: 119.51058983802795
Priority Class: 2 | Queue Time: 189.13295483589172
Priority Class: 2 | Queue Time: 116.19511103630066
Priority Class: 2 | Queue Time: 208.54683923721313
Priority Class: 2 | Queue Time: 206.8926351070404
Priority Class: 2 | Queue Time: 220.72045636177063
Priority Class: 2 | Queue Time: 196.35289406776428
Priority Class: 2 | Queue Time: 230.36835312843323
Priority Class: 2 | Queue Time: 172.87564706802368
Priority Class: 2 | Queue Time: 131.97769689559937
Priority Class: 2 | Queue Time: 186.84359121322632
Priority Class: 2 | Queue Time: 220.13996505737305
Priority Class: 2 | Queue Time: 134.56558990478516
Priority Class: 2 | Queue Time: 118.51055407524109
Priority Class: 2 | Queue Time: 149.24649715423584
Priority Class: 2 | Queue Time: 156.23878812789917
Priority Class: 2 | Queue Time: 174.01708912849426
Priority Class: 2 | Queue Time: 190.00467991828918
Priority Class: 2 | Queue Time: 169.98357915878296
Priority Class: 2 | Queue Time: 243.2482397556305
Priority Class: 2 | Queue Time: 166.30553483963013
Priority Class: 2 | Queue Time: 180.13711833953857
Priority Class: 2 | Queue Time: 125.91406202316284
Priority Class: 2 | Queue Time: 175.7441589832306
Priority Class: 2 | Queue Time: 136.64744782447815
Priority Class: 2 | Queue Time: 127.06486797332764
Priority Class: 2 | Queue Time: 208.58512830734253
Priority Class: 2 | Queue Time: 202.95933389663696
Priority Class: 2 | Queue Time: 229.78232097625732
Priority Class: 2 | Queue Time: 234.2446620464325
Priority Class: 2 | Queue Time: 167.3851261138916
Priority Class: 2 | Queue Time: 125.41956281661987
Priority Class: 2 | Queue Time: 171.27305579185486
Priority Class: 2 | Queue Time: 198.7923800945282
Priority Class: 2 | Queue Time: 238.20546913146973
Priority Class: 2 | Queue Time: 138.23173594474792
Priority Class: 3 | Queue Time: 226.46058106422424
Priority Class: 3 | Queue Time: 210.23245811462402
Priority Class: 3 | Queue Time: 242.94318890571594
Priority Class: 3 | Queue Time: 225.88495802879333
Priority Class: 3 | Queue Time: 195.73277497291565
