Priority Class: 2 | Queue Time: 14.696799755096436
Priority Class: 2 | Queue Time: 22.764453172683716
Priority Class: 2 | Queue Time: 23.984689712524414
Priority Class: 2 | Queue Time: 12.237823724746704
Priority Class: 2 | Queue Time: 17.77762722969055
Priority Class: 3 | Queue Time: 17.80366325378418
Priority Class: 3 | Queue Time: 23.110287189483643
Priority Class: 3 | Queue Time: 25.69456696510315
Priority Class: 3 | Queue Time: 26.35520648956299
Priority Class: 3 | Queue Time: 26.3780198097229
Priority Class: 3 | Queue Time: 22.388864517211914
Priority Class: 3 | Queue Time: 25.938514709472656
Priority Class: 3 | Queue Time: 23.870349168777466
Priority Class: 3 | Queue Time: 25.975496530532837
Priority Class: 3 | Queue Time: 27.920714616775513
Priority Class: 3 | Queue Time: 23.295642614364624
Priority Class: 3 | Queue Time: 25.715192556381226
Priority Class: 3 | Queue Time: 26.53473687171936
Priority Class: 3 | Queue Time: 25.91321325302124
Priority Class: 3 | Queue Time: 26.255383014678955
Priority Class: 3 | Queue Time: 25.159940719604492
Priority Class: 3 | Queue Time: 26.140252351760864
Priority Class: 3 | Queue Time: 28.075196027755737
Priority Class: 3 | Queue Time: 30.826313257217407
Priority Class: 3 | Queue Time: 41.23348021507263
Priority Class: 3 | Queue Time: 31.507057905197144
Priority Class: 3 | Queue Time: 29.284990072250366
Priority Class: 3 | Queue Time: 29.62652349472046
Priority Class: 3 | Queue Time: 42.115962982177734
Priority Class: 3 | Queue Time: 36.23818325996399
Priority Class: 3 | Queue Time: 36.25615954399109
Priority Class: 3 | Queue Time: 36.11750245094299
Priority Class: 3 | Queue Time: 45.72127151489258
Priority Class: 3 | Queue Time: 39.03963661193848
Priority Class: 3 | Queue Time: 37.779589891433716
Priority Class: 3 | Queue Time: 36.031075954437256
Priority Class: 3 | Queue Time: 40.86086821556091
Priority Class: 3 | Queue Time: 38.15899705886841
Priority Class: 3 | Queue Time: 40.58667778968811
Priority Class: 3 | Queue Time: 47.46634578704834
Priority Class: 3 | Queue Time: 38.21586513519287
Priority Class: 3 | Queue Time: 49.10896182060242
Priority Class: 3 | Queue Time: 42.427313804626465
Priority Class: 3 | Queue Time: 38.75642442703247
Priority Class: 3 | Queue Time: 39.5828058719635
Priority Class: 3 | Queue Time: 44.572141885757446
Priority Class: 3 | Queue Time: 41.867005586624146
Priority Class: 3 | Queue Time: 41.882964849472046
Priority Class: 3 | Queue Time: 40.62305545806885
Priority Class: 3 | Queue Time: 45.61418795585632
Priority Class: 3 | Queue Time: 54.097798109054565
Priority Class: 3 | Queue Time: 41.00813961029053
Priority Class: 3 | Queue Time: 45.832411766052246
Priority Class: 3 | Queue Time: 54.15904235839844
Priority Class: 3 | Queue Time: 54.82026290893555
Priority Class: 3 | Queue Time: 56.281752824783325
Priority Class: 3 | Queue Time: 43.993810176849365
Priority Class: 3 | Queue Time: 51.22069525718689
Priority Class: 3 | Queue Time: 52.04228925704956
Priority Class: 3 | Queue Time: 48.21460771560669
Priority Class: 3 | Queue Time: 49.99950575828552
Priority Class: 3 | Queue Time: 46.97506904602051
Priority Class: 3 | Queue Time: 50.2016282081604
Priority Class: 3 | Queue Time: 51.82807421684265
